Country,Corporate Tax Rate,Compliance Hours,Tax Treaties with NZ,Raw Friction,TEFI Score (0-100),Last Updated
USA,25.81,175,Yes,73.715,72.4,2026-02-26
Australia,30.0,150,Yes,75.0,74.8,2026-02-26
United Kingdom,25.0,110,Yes,59.5,45.7,2026-02-26
Singapore,17.0,80,Yes,41.5,11.9,2026-02-26
Canada,26.5,130,Yes,65.75,57.4,2026-02-26
Germany,29.9,218,Yes,88.44999999999999,100.0,2026-02-26
Japan,30.62,190,Yes,83.93,91.5,2026-02-26
New Zealand,28.0,140,N/A,70.0,65.4,2026-02-26
Ireland,12.5,82,Yes,35.15,0.0,2026-02-26
France,25.83,160,Yes,70.745,66.8,2026-02-26
